branch_id,product_id,product_name,total_units,total_revenue,total_orders,customers_served,warehouse_revenue_share,revenue_score,unit_score,order_score,alignment_score
AHM001,P001,Hydraulic Pump HP-300,7642,187229000,644,88,4.247591567780378,17.739913645016017,77.98754974997448,77.59036144578313,47.78429403665698
AHM001,P002,Engine Oil Filter OF-90,7772,5595840,663,88,0.1269506475954481,0.5302048206812323,79.31421573629962,79.87951807228916,40.03527074568834
AHM001,P003,Air Filter AF-120,8090,10112500,682,88,0.22941835788889048,0.958157532942143,82.55944484131034,82.16867469879519,41.680647158623216
AHM001,P004,Track Chain TC-45,8107,322658600,670,88,7.3200302764626315,30.571843575630727,82.73293193182978,80.72289156626506,56.250379680617314
AHM001,P005,Fuel Injector FI-220,7979,67422550,677,88,1.5295891921564018,6.388274331042599,81.42667619144811,81.56626506024097,43.935393035003926
AHM001,P006,Alternator ALT-500,7530,84336000,642,88,1.913298059917673,7.990820637647324,76.84457597714052,77.34939759036145,42.51866263003811
AHM001,P007,Hydraulic Hose HH-60,7974,11562300,668,88,0.2623094071118634,1.0955258188516133,81.37565057658945,80.48192771084337,41.056843624571314
AHM001,P008,Bucket Tooth BT-10,7899,4581420,668,88,0.1039368952483877,0.43408871046445413,80.61026635370956,80.48192771084337,40.49650980351377
AHM001,P009,Starter Motor SM-700,8014,119408600,655,88,2.7089765072743006,11.313943098944392,81.78385549545872,78.91566265060241,45.975260728230296
AHM001,P010,Turbocharger TB-900,8125,283562500,672,88,6.4330722480957725,26.867495222240436,82.91662414532095,80.96385542168674,54.50150593905386
AHM001,P011,Hydraulic Cylinder HC-200,8001,220827600,696,88,5.009829949917899,20.923374874811802,81.65118889682621,83.855421686747,51.728128443803165
AHM001,P012,Brake Pad BP-40,8540,20923000,717,88,0.4746719705423244,1.9824504387390314,87.15175017858965,86.3855421686747,44.41385870668135
AHM001,P013,Seal Kit SK-15,7628,11060600,667,87,0.25092753416720515,1.0479898352395418,77.84467802837024,80.36144578313254,39.94968748275735
AHM001,P014,Transmission Assembly TA-800,7593,634015500,646,88,14.38366327674698,60.072853134939855,77.48749872435963,77.83132530120483,68.84894124501878
AHM001,P015,Engine Block EB-600,8164,971516000,675,88,22.040405971103418,92.05096403202165,83.31462394121849,81.32530120481928,87.28492943934023
AHM001,P016,Radiator RD-250,8095,82569000,689,88,1.873210817555283,7.823397709517904,82.610470456169,83.01204819277108,45.29724963016387
AHM001,P017,Fan Belt FB-30,7604,3954080,672,88,0.08970467644611164,0.3746483597385284,77.59975507704868,80.96385542168674,39.66002178732121
AHM001,P018,Wheel Rim WR-24,7566,85495800,633,88,1.9396099918315948,8.100711476382187,77.21196040412288,76.26506024096386,42.46695590762073
AHM001,P019,Swing Motor SWM-350,7847,312310600,661,88,7.085269221586563,29.591372460586445,80.0795999591795,79.63855421686748,54.74727706142057
AHM001,P020,Pivot Pin PP-12,7629,8773350,637,88,0.1990375822184917,0.8312733143770531,77.85488315134197,76.74698795180723,39.12149919295256
AHM001,P021,Boom Cylinder BC-400,8125,375375000,682,88,8.515986758224205,35.5667128729945,82.91662414532095,82.16867469879519,59.09207861985257
AHM001,P022,Control Valve CV-75,7875,133087500,641,88,3.0193043960976724,12.610016382243504,80.365343402388,77.22891566265059,45.860394344368274
AHM001,P023,Idler Wheel IW-55,7416,96037200,621,88,2.1787586373544574,9.099507206197396,75.6811919583631,74.81927710843374,42.217966612294376
AHM001,P024,Track Roller TR-60,7956,81946800,687,88,1.8590952079356566,7.764444372855693,81.19195836309827,82.7710843373494,44.794026562827206
AHM001,P025,Cabin Glass CG-20,7605,59699250,650,88,1.3543736862495275,5.656493062892086,77.60996020002041,78.3132530120482,41.77388519386181
AHM001,P026,Grease Cartridge GC-5,8016,2484960,655,88,0.05637532189068749,0.2354495073483221,81.80426574140218,78.91566265060241,40.44213700621529
AHM001,P027,O-Ring Set OR-50,7923,3803040,674,88,0.08627809065866661,0.3603373472514499,80.85518930503113,81.20481927710843,40.67768932055675
AHM001,P028,Light Assembly LA-18,8356,18801000,695,88,0.42653098112919946,1.7813913252751772,85.274007551791,83.73493975903614,43.219885879982115
AHM001,P029,Pressure Sensor PS-90,8123,32085850,663,88,0.7279192107262552,3.0401284428530686,82.89621389937749,79.87951807228916,42.364832005697615
AHM001,P030,Fuel Pump FP-350,7153,156650700,639,88,3.5538735580860537,14.84262529005288,72.99724461679763,76.98795180722891,44.71807639151151
CHN001,P001,Hydraulic Pump HP-300,9466,231917000,796,102,4.466706705506769,21.974093504805236,96.60169405041331,95.90361445783132,59.14827785909287
CHN001,P002,Engine Oil Filter OF-90,9536,6865920,804,102,0.13223718357633563,0.6505446693278732,97.31605265843454,96.86746987951807,48.89358210809791
CHN001,P003,Air Filter AF-120,9540,11925000,817,102,0.22967474339167984,1.1298915777834417,97.35687315032146,98.43373493975903,49.45875472193997
CHN001,P004,Track Chain TC-45,9200,366160000,782,102,7.052218368159119,34.69359330156688,93.88713133993265,94.21686746987952,64.35630954673914
CHN001,P005,Fuel Injector FI-220,9295,78542750,803,102,1.5127283816794015,7.441911255425611,94.85661802224716,96.74698795180723,51.5273386247484
CHN001,P006,Alternator ALT-500,9709,108740800,830,102,2.094340908696518,10.303170992153769,99.08153893254413,100.0,54.87604717584012
CHN001,P007,Hydraulic Hose HH-60,9426,13667700,808,102,0.26323903482217714,1.295012085339266,96.19348913154403,97.34939759036145,48.97543230020513
